adc1, adc2, adc3, adc4, gx, gy, gz 
2016-04-02 16:12:00.766669,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.767371,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.767599,236, 236, 6, 6, -56, 48, -2 
2016-04-02 16:12:00.768301,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.768531,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.769233,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.769462,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.770169,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.770399,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.771101,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.771328,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.772031,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.772259,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.772960,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.773189,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.773890,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.774119,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.774821,236, 236, 9, 6, -54, 47, 0 
2016-04-02 16:12:00.775050,236, 236, 9, 9, -54, 47, 0 
2016-04-02 16:12:00.775752,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.775981,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.776683,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.776913,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.777615,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.777843,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.778544,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.778772,236, 236, 6, 6, -54, 47, 0 
2016-04-02 16:12:00.779473,236, 236, 6, 6, -54, 47, 0 
